===============================================================================
Id,AMZN,len,datetime,open,high,low,close,volume,openinterest,adjclose,,len,datetime,open,high,low,close,volume,openinterest,SmaCross,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,BuySell,len,buy,sell,DataTrades,len,AMZN,
60,AMZN,60,2011-03-29 23:59:59.999989,170.73,174.84,170.07,174.62,4884600.0,0.0,174.619995,,60,2011-03-29 23:59:59.999989,170.73,174.84,170.07,174.62,4884600.0,0.0,SmaCross,60,734225.9999999999,Broker,60,9989.7,9989.7,BuySell,60,,,BuySell,60,,,DataTrades,60,,
61,AMZN,61,2011-03-30 23:59:59.999989,177.78,181.16,177.66,179.42,6859300.0,0.0,179.419998,,61,2011-03-30 23:59:59.999989,177.78,181.16,177.66,179.42,6859300.0,0.0,SmaCross,61,734226.9999999999,Broker,61,9989.7,9989.7,BuySell,61,,,BuySell,61,,,DataTrades,61,,
62,AMZN,62,2011-03-31 23:59:59.999989,179.31,181.57,178.5,180.13,4826500.0,0.0,180.130005,,62,2011-03-31 23:59:59.999989,179.31,181.57,178.5,180.13,4826500.0,0.0,SmaCross,62,734227.9999999999,Broker,62,9810.390000000001,9990.52,BuySell,62,175.8225,,BuySell,62,,,DataTrades,62,,
63,AMZN,63,2011-04-01 23:59:59.999989,181.58,183.25,178.59,180.13,5684100.0,0.0,180.130005,,63,2011-04-01 23:59:59.999989,181.58,183.25,178.59,180.13,5684100.0,0.0,SmaCross,63,734228.9999999999,Broker,63,9810.390000000001,9990.52,BuySell,63,,,BuySell,63,,,DataTrades,63,,
64,AMZN,64,2011-04-04 23:59:59.999989,180.89,183.61,180.69,182.94,4186400.0,0.0,182.940002,,64,2011-04-04 23:59:59.999989,180.89,183.61,180.69,182.94,4186400.0,0.0,SmaCross,64,734231.9999999999,Broker,64,9810.390000000001,9993.330000000002,BuySell,64,,,BuySell,64,,,DataTrades,64,,
65,AMZN,65,2011-04-05 23:59:59.999989,182.1,186.36,181.8,185.29,5569200.0,0.0,185.289993,,65,2011-04-05 23:59:59.999989,182.1,186.36,181.8,185.29,5569200.0,0.0,SmaCross,65,734232.9999999999,Broker,65,9810.390000000001,9995.680000000002,BuySell,65,,,BuySell,65,,,DataTrades,65,,
66,AMZN,66,2011-04-06 23:59:59.999989,186.15,188.27,181.12,182.76,5430700.0,0.0,182.759995,,66,2011-04-06 23:59:59.999989,186.15,188.27,181.12,182.76,5430700.0,0.0,SmaCross,66,734233.9999999999,Broker,66,9810.390000000001,9993.150000000001,BuySell,66,,,BuySell,66,,,DataTrades,66,,
67,AMZN,67,2011-04-07 23:59:59.999989,182.78,185.17,181.76,184.91,4564000.0,0.0,184.910004,,67,2011-04-07 23:59:59.999989,182.78,185.17,181.76,184.91,4564000.0,0.0,SmaCross,67,734234.9999999999,Broker,67,9810.390000000001,9995.300000000001,BuySell,67,,,BuySell,67,,,DataTrades,67,,
68,AMZN,68,2011-04-08 23:59:59.999989,185.26,186.22,182.78,184.71,3726400.0,0.0,184.710007,,68,2011-04-08 23:59:59.999989,185.26,186.22,182.78,184.71,3726400.0,0.0,SmaCross,68,734235.9999999999,Broker,68,9810.390000000001,9995.1,BuySell,68,,,BuySell,68,,,DataTrades,68,,
69,AMZN,69,2011-04-11 23:59:59.999989,184.86,186.49,181.85,184.04,3297100.0,0.0,184.039993,,69,2011-04-11 23:59:59.999989,184.86,186.49,181.85,184.04,3297100.0,0.0,SmaCross,69,734238.9999999999,Broker,69,9810.390000000001,9994.430000000002,BuySell,69,,,BuySell,69,,,DataTrades,69,,
70,AMZN,70,2011-04-12 23:59:59.999989,183.06,184.59,179.42,180.48,5334500.0,0.0,180.479996,,70,2011-04-12 23:59:59.999989,183.06,184.59,179.42,180.48,5334500.0,0.0,SmaCross,70,734239.9999999999,Broker,70,9810.390000000001,9990.87,BuySell,70,,,BuySell,70,,,DataTrades,70,,
71,AMZN,71,2011-04-13 23:59:59.999989,180.83,182.88,179.8,182.29,4216300.0,0.0,182.289993,,71,2011-04-13 23:59:59.999989,180.83,182.88,179.8,182.29,4216300.0,0.0,SmaCross,71,734240.9999999999,Broker,71,9810.390000000001,9992.680000000002,BuySell,71,,,BuySell,71,,,DataTrades,71,,
72,AMZN,72,2011-04-14 23:59:59.999989,181.39,182.08,179.36,181.82,3588200.0,0.0,181.820007,,72,2011-04-14 23:59:59.999989,181.39,182.08,179.36,181.82,3588200.0,0.0,SmaCross,72,734241.9999999999,Broker,72,9810.390000000001,9992.210000000001,BuySell,72,,,BuySell,72,,,DataTrades,72,,
73,AMZN,73,2011-04-15 23:59:59.999989,181.0,181.78,179.02,180.01,4272400.0,0.0,180.009995,,73,2011-04-15 23:59:59.999989,181.0,181.78,179.02,180.01,4272400.0,0.0,SmaCross,73,734242.9999999999,Broker,73,9810.390000000001,9990.400000000001,BuySell,73,,,BuySell,73,,,DataTrades,73,,
74,AMZN,74,2011-04-18 23:59:59.999989,178.38,178.91,175.37,178.34,4616500.0,0.0,178.339996,,74,2011-04-18 23:59:59.999989,178.38,178.91,175.37,178.34,4616500.0,0.0,SmaCross,74,734245.9999999999,Broker,74,9810.390000000001,9988.730000000001,BuySell,74,,,BuySell,74,,,DataTrades,74,,
75,AMZN,75,2011-04-19 23:59:59.999989,178.35,179.47,176.6,178.82,2646000.0,0.0,178.820007,,75,2011-04-19 23:59:59.999989,178.35,179.47,176.6,178.82,2646000.0,0.0,SmaCross,75,734246.9999999999,Broker,75,9810.390000000001,9989.210000000001,BuySell,75,,,BuySell,75,,,DataTrades,75,,
76,AMZN,76,2011-04-20 23:59:59.999989,181.62,185.0,181.59,183.87,4067500.0,0.0,183.869995,,76,2011-04-20 23:59:59.999989,181.62,185.0,181.59,183.87,4067500.0,0.0,SmaCross,76,734247.9999999999,Broker,76,9810.390000000001,9994.260000000002,BuySell,76,,,BuySell,76,,,DataTrades,76,,
77,AMZN,77,2011-04-21 23:59:59.999989,184.56,185.97,183.05,185.89,3348100.0,0.0,185.889999,,77,2011-04-21 23:59:59.999989,184.56,185.97,183.05,185.89,3348100.0,0.0,SmaCross,77,734248.9999999999,Broker,77,9810.390000000001,9996.28,BuySell,77,,,BuySell,77,,,DataTrades,77,,
78,AMZN,78,2011-04-25 23:59:59.999989,185.65,186.35,183.77,185.42,3438100.0,0.0,185.419998,,78,2011-04-25 23:59:59.999989,185.65,186.35,183.77,185.42,3438100.0,0.0,SmaCross,78,734252.9999999999,Broker,78,9810.390000000001,9995.810000000001,BuySell,78,,,BuySell,78,,,DataTrades,78,,
79,AMZN,79,2011-04-26 23:59:59.999989,186.27,186.42,180.74,182.3,11200000.0,0.0,182.300003,,79,2011-04-26 23:59:59.999989,186.27,186.42,180.74,182.3,11200000.0,0.0,SmaCross,79,734253.9999999999,Broker,79,9810.390000000001,9992.69,BuySell,79,,,BuySell,79,,,DataTrades,79,,
80,AMZN,80,2011-04-27 23:59:59.999989,183.2,197.8,182.75,196.63,23623000.0,0.0,196.630005,,80,2011-04-27 23:59:59.999989,183.2,197.8,182.75,196.63,23623000.0,0.0,SmaCross,80,734254.9999999999,Broker,80,9810.390000000001,10007.02,BuySell,80,,,BuySell,80,,,DataTrades,80,,
81,AMZN,81,2011-04-28 23:59:59.999989,195.96,196.79,192.27,195.07,7300000.0,0.0,195.070007,,81,2011-04-28 23:59:59.999989,195.96,196.79,192.27,195.07,7300000.0,0.0,SmaCross,81,734255.9999999999,Broker,81,9810.390000000001,10005.460000000001,BuySell,81,,,BuySell,81,,,DataTrades,81,,
82,AMZN,82,2011-04-29 23:59:59.999989,194.38,196.59,193.78,195.81,6640900.0,0.0,195.809998,,82,2011-04-29 23:59:59.999989,194.38,196.59,193.78,195.81,6640900.0,0.0,SmaCross,82,734256.9999999999,Broker,82,9810.390000000001,10006.2,BuySell,82,,,BuySell,82,,,DataTrades,82,,
83,AMZN,83,2011-05-02 23:59:59.999989,196.57,203.42,196.18,201.19,9398100.0,0.0,201.190002,,83,2011-05-02 23:59:59.999989,196.57,203.42,196.18,201.19,9398100.0,0.0,SmaCross,83,734259.9999999999,Broker,83,9810.390000000001,10011.580000000002,BuySell,83,,,BuySell,83,,,DataTrades,83,,
